Date,Time_Period,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2021-07-04,1,0.5696666666666678,13.783333333333333,80.16666666666667,5.666666666666667,14.333333333333334,16.900000000000002,89.19666666666667,6,1,0
2021-07-04,2,1.8679999999999992,12.383333333333333,86.0,7.0,15.0,12.366666666666667,89.40666666666665,6,1,0
2021-07-04,3,1.8630000000000024,14.216666666666667,86.16666666666667,24.5,8.333333333333334,10.75,89.08833333333332,6,1,0
2021-07-05,0,0.8946666666666647,10.283333333333333,75.66666666666667,12.333333333333334,10.0,21.96666666666667,89.67666666666666,0,0,0
2021-07-05,1,0.17199999999999943,11.383333333333333,71.16666666666667,11.833333333333334,13.166666666666666,21.166666666666668,89.665,0,0,0
2021-07-05,2,0.2336666666666662,11.6,75.0,10.166666666666666,4.666666666666667,16.1,89.665,0,0,0
2021-07-05,3,0.020000000000000157,11.200000000000001,87.66666666666667,15.5,6.833333333333333,9.416666666666666,89.55666666666667,0,0,0
2021-07-06,0,2.589666666666665,12.566666666666668,81.83333333333333,16.666666666666668,11.333333333333334,19.05,89.47166666666665,1,0,0
2021-07-06,1,1.6746666666666699,12.166666666666666,53.833333333333336,12.5,9.5,28.150000000000002,89.32666666666667,1,0,0
2021-07-06,2,5.98966666666667,13.866666666666667,71.16666666666667,13.166666666666666,13.333333333333334,16.633333333333336,89.26666666666667,1,0,0
2021-07-06,3,0.22400000000000064,12.549999999999999,87.83333333333333,16.5,11.666666666666666,12.633333333333335,89.545,1,0,0
2021-07-07,0,16.05066666666667,13.333333333333334,72.83333333333333,16.333333333333332,7.666666666666667,16.366666666666667,88.95833333333333,2,0,0
2021-07-07,1,0.15466666666666745,15.016666666666666,55.333333333333336,10.833333333333334,13.166666666666666,26.26666666666667,88.695,2,0,0
2021-07-07,2,22.78966666666667,13.65,74.0,17.666666666666668,17.166666666666668,10.216666666666667,88.58333333333333,2,0,0
2021-07-07,3,2.2959999999999985,12.799999999999999,89.33333333333333,18.333333333333332,3.1666666666666665,19.3,89.13666666666666,2,0,0
2021-07-08,0,9.344000000000008,12.816666666666668,69.33333333333333,23.5,6.5,29.5,88.74000000000001,3,0,0
2021-07-08,1,1.3629999999999989,11.433333333333332,42.833333333333336,12.333333333333334,10.0,40.2,88.915,3,0,0
2021-07-08,2,3.3376666666666615,12.0,54.166666666666664,13.666666666666666,10.333333333333334,28.133333333333336,89.00666666666666,3,0,0
2021-07-08,3,0.042666666666666665,12.5,90.83333333333333,26.833333333333332,9.5,9.700000000000001,88.54833333333333,3,0,0
2021-07-09,0,16.16800000000001,12.549999999999999,62.666666666666664,15.666666666666666,1.6666666666666667,33.53333333333334,89.31333333333333,4,0,0
2021-07-09,1,0.6519999999999994,10.9,38.0,14.666666666666666,11.833333333333334,34.86666666666667,89.43333333333334,4,0,0
2021-07-09,2,4.613666666666672,9.700000000000001,41.166666666666664,15.333333333333334,11.5,28.133333333333336,89.46499999999999,4,0,0
2021-07-09,3,7.637666666666661,11.616666666666667,75.83333333333333,29.0,3.5,24.100000000000005,89.08333333333333,4,0,0
2021-07-10,0,20.682666666666673,11.65,54.333333333333336,20.5,11.5,41.56666666666667,89.245,5,1,0
2021-07-10,1,0.6976666666666698,7.55,24.166666666666668,20.833333333333332,7.333333333333333,40.2,89.00166666666667,5,1,0
2021-07-10,2,25.564000000000004,10.233333333333333,46.5,32.0,18.666666666666668,36.199999999999996,88.99,5,1,0
2021-07-10,3,4.921666666666666,10.683333333333332,64.33333333333333,18.666666666666668,7.833333333333333,25.450000000000003,89.41333333333334,5,1,0
